level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1170	570	-1	
2	1	1	0	0	0	0	6	1167	459	-1	
3	1	1	1	0	0	0	6	1079	295	-1	
4	1	1	1	1	0	2	6	811	15	-1	
5	1	1	1	1	1	2	6	11	14	59.868240	&
5	1	1	1	1	2	24	12	13	3	75.713959	—
5	1	1	1	1	3	47	6	47	15	93.170761	ALTA
5	1	1	1	1	4	104	6	81	14	95.515060	LAGUNA
5	1	1	1	1	5	194	6	50	13	81.350334	PARK
5	1	1	1	1	6	498	6	90	14	63.253433	SUNGAYS
5	1	1	1	1	7	600	12	11	3	89.184265	—
5	1	1	1	1	8	623	7	80	12	47.761261	LAGUNA
5	1	1	1	1	9	714	7	65	12	72.258858	BEACH
5	1	1	1	1	10	789	7	24	13	79.924881	HS
4	1	1	1	2	0	3	34	1076	25	-1	
5	1	1	1	2	1	3	39	54	15	25.803265	sygurin
5	1	1	1	2	2	63	35	108	19	1.327877	Abed
5	1	1	1	2	3	109	26	6	32	0.000000	b
5	1	1	1	2	4	122	35	49	19	0.000000	aguires
5	1	1	1	2	5	178	35	54	13	0.000000	Benecte
5	1	1	1	2	6	499	35	32	13	57.604317	625
5	1	1	1	2	7	541	34	34	14	31.430054	Pack
5	1	1	1	2	8	585	26	36	32	78.657028	Ave,
5	1	1	1	2	9	623	36	64	18	0.000000	Laure
5	1	1	1	2	10	693	35	54	13	48.896301	Rech
5	1	1	1	2	11	1074	55	5	4	52.168953	:
4	1	1	1	3	0	0	99	991	28	-1	
5	1	1	1	3	1	0	101	36	20	73.616440	lor
5	1	1	1	3	2	40	101	41	20	52.210556	Boll
5	1	1	1	3	3	269	104	81	20	41.729019	130-4
5	1	1	1	3	4	356	104	36	20	87.681847	PM
5	1	1	1	3	5	498	103	14	17	58.517807	©
5	1	1	1	3	6	530	101	44	20	94.138962	UTR
5	1	1	1	3	7	578	101	82	26	76.178268	Singles
5	1	1	1	3	8	665	99	61	25	85.778557	(2.0-
5	1	1	1	3	9	864	104	85	20	18.274918	3-530
5	1	1	1	3	10	955	104	36	20	94.311760	PM
4	1	1	1	4	0	0	127	989	34	-1	
5	1	1	1	4	1	0	127	76	34	27.946072	snéors)
